ds_uuidv4,ds_iid,release_id,release_slug,title,abstract,purpose,source_org,source_citation,landing_page_url,doi,eml_packageId,repo_scope,repo_identifier,repo_revision,coverage_start,coverage_end,published_date,geo_description,spatial_reference,license,intellectual_rights,methods_summary,processing_summary,upstream_release_ids,file_manifest_path,manifest_sha256,file_count,total_bytes,notes
00569648-8066-4E00-BA4D-5C219CF12806,blm-aim,,blm-aim--,,,,,,,,,,,,,,,,,,,,,,,,,,
94245C12-5E3A-459C-8CAA-4C20843C5336,kpu-gaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587C27D-6D46-4425-BA66-94474B8C8E83,mtj-permafrost,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BD91041-9FF5-4F04-8608-8CB97A63058,nrcs-nasis-ak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96AD327A-FD36-4F51-833E-5D4C2767F496,clp-archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538EFCCE-91A8-48EB-944D-E6AADE764D08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD18419D-7B32-4101-BC0E-41E41AD89B45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A13783EB-E27C-40B4-9AF9-D7CDC2F3C4EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209F8C12-69B4-47D5-8BD8-DA92AD93DA54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
